nom,ground_truth,prediction,exact_match,cer,wer,is_valid
是日文曉有德并二營属将走出真福安塲,thị nhật văn hiểu hữu đức tịnh nhị dinh thuộc tướng tẩu xuất chân phúc an trường,thị nhật văn hiểu hữu đức tịnh nhị dinh thuộc tướng tẩu xuất chân phúc an trường,1,0.0,0.0,True
賊徒侵入石河地方,tặc đồ xâm nhập thạch hà địa phương,tặc đồ xâm nhập thạch hà địa phương,1,0.0,0.0,True
次日文曉有德再率属将進入駐營于石河大奈爲守禦之計,thứ nhật văn hiểu hữu đức tái suất thuộc tướng tiến nhập trú dinh vu thạch hà đại nại vi thủ ngự chi kế,thứ nhật văn hiểu hữu đức tái suất thuộc tướng tiến nhập trú dinh vu thạch hà đại nại vi thủ ngự chi kế,1,0.0,0.0,True
五月召黎文曉黎有德與其属将赴京,ngũ nguyệt triệu lê văn hiểu lê hữu đức dữ kì thuộc tướng phó kinh,ngũ nguyệt triệu lê văn hiểu lê hữu đức dữ kì thuộc tướng phó kinh,1,0.0,0.0,True
行至途中文曉痛跡而卒,hành chí đồ trung văn hiểu thống tích nhi tốt,hành chí đồ trung văn hiểu thống tích nhi tốt,1,0.0,0.0,True
六月論敗衂,lục nguyệt luận bại nục,lục nguyệt luận bại nục,1,0.0,0.0,True
罪追收黎文曉勑印兵民貶黎有德爲都督僉事属将黎時憲鄭丙等並罷職爵收民禄黎文暿武百福等黜爲另兵黎文暘充軍,tội truy thu lê văn hiểu sắc ấn binh dân biếm lê hữu đức vi đô đốc thiêm sự thuộc tướng lê thì hiến trịnh bính đẳng tịnh bãi chức tước thu dân lộc lê văn hi vũ bách phúc đẳng truất vi lánh binh lê văn dương sung quân,tội truy thu lê văn hiểu sắc ấn binh dân biếm lê hữu đức vi đô đốc thiêm sự thuộc tướng lê thì hiến trịnh bính đẳng tịnh bãi chức tước thu dân lộc lê văn hi võ bách phúc đẳng truất vi lánh binh lê văn dương sung quân,0,0.006,0.02,True
貶督同陳玉厚爲尚寶寺卿武良爲工科給事中監護武自快爲乂安處參議,biếm đốc đồng trần ngọc hậu vi thượng bảo tự khanh vũ lương vi công khoa cấp sự trung giám hộ vũ tự khoái vi nghệ an xứ tham nghị,biếm đốc đồng trần ngọc hậu vi thượng bảo tự khanh vũ lương vi công khoa cấp sự trung giám hộ vũ tự khoái vi nghệ an xứ tham nghị,1,0.0,0.0,True
以布政人阮必𧼈不從范必全向賊堅守臣節許陞職爵,dĩ bố chính nhân nguyễn tất thú bất tòng phạm tất toàn hướng tặc kiên thủ thần tiết hứa thăng chức tước,dĩ bố chính nhân nguyễn tất thú bất tòng phạm tất toàn hướng tặc kiên thủ thần tiết hứa thăng chức tước,1,0.0,0.0,True
是月命太保溪郡公鄭仗爲統領陪從吏部左侍郎演壽伯阮文濯爲督是吏科都給事中義江男阮性爲副督視領属将十八員直扺乂安南河地方進討順,thị nguyệt mệnh thái bảo khê quận công trịnh trượng vi thống lĩnh bồi tụng lại bộ tả thị lang diễn thọ bá nguyễn văn trạc vi đốc thị lại khoa đô cấp sự trung nghĩa giang nam nguyễn tính vi phó đốc thị lĩnh thuộc tướng thập bát viên trực chỉ nghệ an nam hà địa phương tiến thảo thuận,thị nguyệt mệnh thái bảo khê quận công trịnh trượng vi thống lĩnh bồi tòng lại bộ tả thị lang diễn thọ bá nguyễn văn trạc vi đốc thị lại khoa đô cấp sự trung nghĩa giang nam nguyễn tính vi phó đốc thị lĩnh thuộc tướng thập bát viên trực chỉ nghệ an nam hà địa phương tiến thảo thuận,0,0.0045,0.0164,True
化,hoá,hoá,1,0.0,0.0,True
時有官劎銀色化爲銅色范公著謹啓以爲此亦異事不可以爲常而忽之,thời hữu quan kiếm ngân sắc hoá vi đồng sắc phạm công trứ cẩn khải dĩ vi thử diệc dị sự bất khả dĩ vi thường nhi hốt chi,thời hữu quan kiếm ngân sắc hoá vi đồng sắc phạm công trước cẩn khải dĩ vi thử diệc dị sự bất khả dĩ vi thường nhi hốt chi,0,0.0326,0.0345,True
今天下習尚文飾,kim thiên hạ tập thượng văn sức,kim thiên hạ tập thượng văn sức,1,0.0,0.0,True
兵士饑渴而不知恤徒以金銀飾於軍噐專務奢靡以致化爲銅色,binh sĩ cơ khát nhi bất tri tuất đồ dĩ kim ngân sức ư quân khí chuyên vụ xa mĩ dĩ trí hoá vi đồng sắc,binh sĩ cơ khát nhi bất tri tuất đồ dĩ kim ngân sức ư quân khí chuyên vụ xa mĩ dĩ trí hoá vi đồng sắc,1,0.0,0.0,True
意者天心示警使之速改以爲實事也,ý giả thiên tâm thị cảnh sử chi tốc cải dĩ vi thực sự dã,ý giả thiên tâm thị cảnh sử chi tốc cải dĩ vi thực sự dã,1,0.0,0.0,True
恭乞因此改之削去銀飾以僃軍粮務爲銅漆以實軍噐亦可以應是祥而做好兵事奮揚武衛也,cung khất nhân thử cải chi tước khử ngân sức dĩ bị quân lương vụ vi đồng tất dĩ thực quân khí diệc khả dĩ ứng thị tường nhi tố hảo binh sự phấn dương vũ vệ dã,cung khất nhân thử cải chi tước khứ ngân sức dĩ bị quân lương vụ vi đồng tất dĩ thực quân khí diệc khả dĩ ưng thị tường nhi tố hảo binh sự phấn dương vũ vệ dã,0,0.0165,0.0526,True
秋八月鄭仗領大兵進至奇華河西駐札左次樂川,thu bát nguyệt trịnh trượng lĩnh đại binh tiến chí kì hoa hà tây trú trát tả thứ lạc xuyên,thu bát nguyệt trịnh trượng lĩnh đại binh tiến chí kỳ hoa hà tây trú trát tả thứ lạc xuyên,0,0.0141,0.05,True
賊兵薄之諸軍敗走盡棄軍資棄械,tặc binh bác chi chư quân bại tẩu tận khí quân tư khí giới,tặc binh bạc chi chư quân bại tẩu tận khí quân tư khí giới,0,0.0222,0.0714,True
賊船入奇羅海門,tặc thuyền nhập kì la hải môn,tặc thuyền nhập kỳ la hải môn,0,0.0435,0.1429,True
武文添,vũ văn thiêm,vũ văn thiêm,1,0.0,0.0,True
移船出駐于丹涯海門,di thuyền xuất trú vu đan nhai hải môn,di thuyền xuất trú vu đan nhai hải môn,1,0.0,0.0,True
賊船入南界海門,tặc thuyền nhập nam giới hải môn,tặc thuyền nhập nam giới hải môn,1,0.0,0.0,True
阮有勅望風而走黎仁厚且戦且却,nguyễn hữu sắc vọng phong nhi tẩu lê nhân hậu thả chiến thả khước,nguyễn hữu sắc vọng phong nhi tẩu lê nhân hậu thả chiến thả khước,1,0.0,0.0,True
鄭仗與諸将走至真福安塲地方駐營,trịnh trượng dữ chư tướng tẩu chí chân phúc an trường địa phương trú dinh,trịnh trượng dữ chư tướng tẩu chí chân phúc an trường địa phương trú dinh,1,0.0,0.0,True
又分兵屯于北河自義烈至丹涯海門以遏賊兵,hựu phân binh đồn vu bắc hà tự nghĩa liệt chí đan nhai hải môn dĩ át tặc binh,hựu phân binh đồn vu bắc hà tự nghĩa liệt chí đan nhai hải môn dĩ át tặc binh,1,0.0,0.0,True
時鄧明制之子明則降于賊賊遂乘勢至天禄彬舍地方,thời đặng minh chế chi tử minh tắc hàng vu tặc tặc toại thừa thế chí thiên lộc bân xá địa phương,Cannot translate this text.,0,1.0,1.0,False
南河爲之騷動,nam hà vị chi tao động,nam hà vi chi tao động,0,0.0588,0.1667,True
是月王奏帝命西定王鄭柞親率諸營将士進討賊徒,thị nguyệt vương tấu đế mệnh tây định vương trịnh tạc thân suất chư dinh tướng sĩ tiến thảo tặc đồ,thị nguyệt vương tấu đế mệnh tây định vương trịnh tạc thân suất chư doanh tướng sĩ tiến thảo tặc đồ,0,0.0256,0.0476,True
九月大兵進至乂安處次于真福安塲,cửu nguyệt đại binh tiến chí nghệ an xứ thứ vu chân phúc an trường,cửu nguyệt đại binh tiến chí nghệ an xứ thứ vu chân phúc an trường,1,0.0,0.0,True
論樂川敗衂罪,luận lạc xuyên bại nục tội,luận lạc xuyên bại nục tội,1,0.0,0.0,True
斬羅德代阮興讓絞謝世保󰰾鄭𥒥黎有禮職爵貶鄭柱爲都督,trảm la đức đại nguyễn hưng nhượng giảo tạ thế bảo bãi trịnh đá lê hữu lễ chức tước biếm trịnh trụ vi đô đốc,trảm la đức đại nguyễn hưng nhượng giảo tạ thế bảo bãi trịnh đá lê hữu lễ chức tước biếm trịnh trụ vi đô đốc,1,0.0,0.0,True
同知,đồng tri,đồng tri,1,0.0,0.0,True
又以舍吏杜公魁陳有財㸔戦徇私以過爲功並刖指,hựu dĩ xá lại đỗ công khôi trần hữu tài khán chiến tuẫn tư dĩ quá vi công tịnh ngoạt chỉ,hựu dĩ xá lại đỗ công khôi trần hữu tài khán chiến tuẫn tư dĩ quá vi công tịnh ngoạt chỉ,1,0.0,0.0,True
又論水道功過,hựu luận thuỷ đạo công quá,hựu luận thuỷ đạo công quá,1,0.0,0.0,True
以武文添爲左都督復仍張得壽爲程郡公貶阮有敕職爵,dĩ vũ văn thiêm vi tả đô đốc phục nhưng trương đắc thọ vi trình quận công biếm nguyễn hữu sắc chức tước,dĩ vũ văn thiêm vi tả đô đốc phục nhưng trương đắc thọ vi trình quận công biếm nguyễn hữu sắc chức tước,1,0.0,0.0,True
